id,display_name,implemented_in_aimux,provider_kind,tier,protocol,openai_compatible,sources,base_urls,model_count,capabilities,audit_projects,audit_count,integration_candidate
abacus,Abacus,False,model_vendor,unknown,unknown,,,https://routellm.abacus.ai/v1,100,chat,mastra;opencode,2,
abliteration_ai,abliteration.ai,False,model_vendor,unknown,unknown,,,https://api.abliteration.ai/v1,2,chat,mastra;opencode,2,
advanced_custom,Advanced Custom,False,model_vendor,unknown,unknown,,,,0,chat,new-api,1,
ai21,Ai21,True,model_vendor,L2,openai,True,,,12,chat;completion,ferro-ai-gateway;langchain;litellm;llama_index;portkey-gateway,5,
ai302,302.AI,True,model_vendor,unknown,unknown,,,https://api.302.ai/v1,97,chat;image_generation,mastra;opencode;portkey-gateway,3,
ai_router,AI-ROUTER,False,model_vendor,unknown,unknown,,,https://api.ai-router.dev/v1,5,chat,mastra;opencode,2,
aiand,ai&,False,model_vendor,unknown,unknown,,,https://api.aiand.com/v1,10,chat,mastra;opencode,2,
aigc2d,AIGC2D,True,model_vendor,unknown,unknown,,,https://api.aigc2d.com,0,chat,one-api,1,
aihubmix,AIHubMix,True,gateway_aggregator,L2,openai,True,,,787,audio_speech;chat;embedding;image_generation;rerank,awaken;axonhub;cc-switch;cline;mastra;opencode;rust-genai,7,
ails,AILS,True,model_vendor,unknown,unknown,,,https://api.caipacity.com,0,chat,one-api,1,
aiml,Aiml,True,model_vendor,L3,unknown,True,,,13,image_generation,litellm,1,
aiproxy,AIProxy,False,model_vendor,unknown,unknown,,,https://api.aiproxy.io,0,chat,one-api,1,
aiproxy_library,AIProxyLibrary,False,model_vendor,unknown,unknown,,,https://api.aiproxy.io,0,chat,one-api,1,
aki_io,AKI.IO,False,model_vendor,unknown,unknown,,,https://aki.io/v1,6,chat,mastra;opencode,2,
ali,Ali,False,model_vendor,unknown,unknown,,,https://dashscope.aliyuncs.com,0,chat,aiproxy,1,
alibaba,Alibaba,True,model_vendor,L2,openai,True,,https://dashscope-intl.aliyuncs.com/compatible-mode/v1,114,chat;image_generation,agent-of-empires;ai;aisuite;APIPark;awaken;axonhub;ccs-nicremo;cc-switch;chats;cline;eino;ferro-ai-gateway;higress;langchain4j;langchain-rust;litellm;llama_index;llm-connector;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencodex;OpenHands;otari;portkey-gateway;Roo-Code;rust-genai;simple-one-api;swiftide,46,
alibaba_cn,Alibaba (China),False,model_vendor,unknown,unknown,,,https://dashscope.aliyuncs.com/compatible-mode/v1,112,chat,agent-of-empires;ai;aisuite;APIPark;awaken;axonhub;ccs-nicremo;cc-switch;chats;cline;eino;ferro-ai-gateway;higress;langchain4j;langchain-rust;litellm;llama_index;llm-connector;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencodex;OpenHands;otari;portkey-gateway;Roo-Code;rust-genai;simple-one-api;swiftide,46,
alibaba_coding_plan,Alibaba Coding Plan,False,model_vendor,unknown,unknown,,,https://coding-intl.dashscope.aliyuncs.com/v1,12,chat,agent-of-empires;ai;aisuite;APIPark;awaken;axonhub;ccs-nicremo;cc-switch;chats;cline;eino;ferro-ai-gateway;higress;langchain4j;langchain-rust;litellm;llama_index;llm-connector;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencodex;OpenHands;otari;portkey-gateway;Roo-Code;rust-genai;simple-one-api;swiftide,46,
alibaba_coding_plan_cn,Alibaba Coding Plan (China),False,model_vendor,unknown,unknown,,,https://coding.dashscope.aliyuncs.com/v1,12,chat,agent-of-empires;ai;aisuite;APIPark;awaken;axonhub;ccs-nicremo;cc-switch;chats;cline;eino;ferro-ai-gateway;higress;langchain4j;langchain-rust;litellm;llama_index;llm-connector;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencodex;OpenHands;otari;portkey-gateway;Roo-Code;rust-genai;simple-one-api;swiftide,46,
alibaba_token_plan,Alibaba Token Plan,False,model_vendor,unknown,unknown,,,https://token-plan.ap-southeast-1.maas.aliyuncs.com/compatible-mode/v1,22,chat;image_generation,agent-of-empires;ai;aisuite;APIPark;awaken;axonhub;ccs-nicremo;cc-switch;chats;cline;eino;ferro-ai-gateway;higress;langchain4j;langchain-rust;litellm;llama_index;llm-connector;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencodex;OpenHands;otari;portkey-gateway;Roo-Code;rust-genai;simple-one-api;swiftide,46,
alibaba_token_plan_cn,Alibaba Token Plan (China),False,model_vendor,unknown,unknown,,,https://token-plan.cn-beijing.maas.aliyuncs.com/compatible-mode/v1,22,chat;image_generation,agent-of-empires;ai;aisuite;APIPark;awaken;axonhub;ccs-nicremo;cc-switch;chats;cline;eino;ferro-ai-gateway;higress;langchain4j;langchain-rust;litellm;llama_index;llm-connector;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencodex;OpenHands;otari;portkey-gateway;Roo-Code;rust-genai;simple-one-api;swiftide,46,
ambient,Ambient,False,model_vendor,unknown,unknown,,,https://api.ambient.xyz/v1,9,chat,mastra;opencode,2,
anthropic,Anthropic,True,model_vendor,L1,anthropic,False,,https://api.anthropic.com,33,chat,agent-of-empires;agentsdk;ai;ai.rs;aider;aiproxy;aisuite;APIPark;async-anthropic;autogen;AutoGPT;awaken;axonhub;bifrost;chats;claude-code-router;cline;coai;continue;crewAI;dspy;edgequake-llm;eino;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;haystack;helicone-ai-gateway;higress;instructor;instructor-go;kalosm;langchain;langchain4j;LangChain-csharp;langchaingo;langchainjs;langchain-rust;litellm;litellm-rust;llama_index;LlamaIndexTS;llm-connector;llmgateway;llmrust;manifest;mastra;mirascope;multi-llm;new-api;oh-my-opencode-slim;one-api;one-hub;opencode;opencode-ai;opencodex;OpenHands;otari;outlines;pi;pinchbench;plano;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;rust_ai_sdk;rust-genai;semantic-kernel;simple-one-api;smg;spring-ai;swiftide;tensorzero;textgrad;traceloop-hub;unia;uni-api,85,
anthropic_text,Anthropic Text,False,model_vendor,unknown,unknown,,,,0,chat,litellm,1,
anyapi,AnyAPI,False,model_vendor,unknown,unknown,,,https://api.anyapi.ai/v1,30,chat,mastra;opencode,2,
anyscale,Anyscale,True,deployment_platform,L2,openai,True,,,12,chat,dspy;instructor;litellm;llama_index;portkey-gateway,5,
apertis,Apertis,False,model_vendor,L2,openai,True,,,0,,litellm;llama_index,2,
api2gpt,API2GPT,True,model_vendor,unknown,unknown,,,https://api.api2gpt.com,0,chat,one-api,1,
apiserpent,Apiserpent,True,model_vendor,L3,unknown,,,,2,search,litellm,1,
assemblyai,Assemblyai,True,model_vendor,L3,unknown,,,,2,audio_transcription,,,
atlascloud,Atlascloud,True,model_vendor,L2,openai,True,,,0,chat,awaken;axonhub;llmgateway;rust-genai,4,
atomic_chat,Atomic Chat,False,local_runtime,unknown,unknown,,,http://127.0.0.1:1337/v1,5,chat,mastra;opencode,2,
auriko,Auriko,False,model_vendor,unknown,unknown,,,https://api.auriko.ai/v1,15,chat,mastra;opencode,2,
aws,AWS,False,model_vendor,unknown,unknown,,,,0,chat,agentsdk;ai;aider;aiproxy;aisuite;APIPark;awaken;bifrost;cc-switch;claude-code;cline;codex;continue;crewAI;edgequake-llm;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;haystack;helicone-ai-gateway;higress;instructor;langchain;langchain4j;langchaingo;langchainjs;litellm;llama_index;LlamaIndexTS;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencode-ai;OpenHands;otari;pi;plano;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;rust-genai;semantic-kernel;smg;spring-ai;swiftide;tensorzero;textgrad;traceloop-hub;uni-api,62,
aws_polly,AWS Polly,False,model_vendor,L3,unknown,,,,4,audio_speech,litellm,1,
azure,Azure,True,cloud_platform,L1,azure_openai,False,,,323,audio_speech;audio_transcription;chat;embedding;image_generation;realtime;responses;video_generation,ai;aider;aiproxy;aisuite;APIPark;autogen;bifrost;cc-switch;coai;codex;continue;crewAI;dotnet-extensions;dspy;edgequake-llm;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;guidance;haystack;higress;instructor;langchain;langchain4j;LangChain-csharp;langchaingo;langchainjs;langchain-rust;litellm;llama_index;LlamaIndexTS;llm-connector;llmgateway;mastra;new-api;one-api;one-hub;opencode;opencode-ai;opencodex;OpenHands;plano;portkey-gateway;rig;rllm;semantic-kernel;semantic-kernel-java;simple-one-api;smg;swiftide;tensorzero;textgrad;traceloop-hub;uni-api,55,
azure_ai,Azure AI,True,cloud_platform,L2,openai,True,,,97,chat;embedding;image_generation;other;rerank;responses,langchain;litellm;portkey-gateway,3,
azure_cognitive_services,Azure Cognitive Services,False,model_vendor,unknown,unknown,,,,94,chat;embedding,opencode,1,
azure_text,Azure Text,False,model_vendor,unknown,unknown,,,,3,chat;completion,,,
baidu,Baidu,True,model_vendor,L2,openai,True,,https://aip.baidubce.com,0,chat,aiproxy;awaken;eino;higress;langchain4j;langchaingo;langchain-swift;llama_index;one-api;one-hub;opencodex;rust-genai;simple-one-api,16,
baidu_v2,BaiduV2,False,model_vendor,unknown,unknown,,,https://qianfan.baidubce.com,0,chat,new-api,1,
bailing,Bailing,False,model_vendor,unknown,unknown,,,https://api.tbox.cn/api/llm/v1/chat/completions,2,chat,cc-switch;mastra;opencode,3,
baseten,Baseten,True,deployment_platform,L2,openai,True,,https://inference.baseten.co/v1,27,chat,ai;cline;langchain;litellm;llama_index;mastra;opencode;Roo-Code,8,
bedrock,Amazon Bedrock,True,cloud_platform,L1,aws_bedrock,False,,,423,chat;embedding;image_edit;image_generation;rerank,agentsdk;ai;aider;aiproxy;aisuite;APIPark;awaken;bifrost;cc-switch;claude-code;cline;codex;continue;crewAI;edgequake-llm;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;haystack;helicone-ai-gateway;higress;instructor;langchain;langchain4j;langchaingo;langchainjs;litellm;llama_index;LlamaIndexTS;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencode-ai;OpenHands;otari;pi;plano;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;rust-genai;semantic-kernel;smg;spring-ai;swiftide;tensorzero;textgrad;traceloop-hub;uni-api,62,
bedrock_mantle,Bedrock Mantle,False,model_vendor,unknown,unknown,,,,24,chat;responses,agentsdk;ai;aider;aiproxy;aisuite;APIPark;awaken;bifrost;cc-switch;claude-code;cline;codex;continue;crewAI;edgequake-llm;envoy-ai-gateway;ferro-ai-gateway;graniet-llm;haystack;helicone-ai-gateway;higress;instructor;langchain;langchain4j;langchaingo;langchainjs;litellm;llama_index;LlamaIndexTS;llmgateway;manifest;mastra;new-api;one-hub;opencode;opencode-ai;OpenHands;otari;pi;plano;portkey-gateway;pydantic-ai;rig;rllm;Roo-Code;rust-genai;semantic-kernel;smg;spring-ai;swiftide;tensorzero;textgrad;traceloop-hub;uni-api,62,
berget,Berget.AI,False,model_vendor,unknown,unknown,,,https://api.berget.ai/v1,8,chat,mastra;opencode,2,
bigmodel,Zhipu AI,True,model_vendor,L2,openai,True,,https://open.bigmodel.cn;https://open.bigmodel.cn/api/paas/v4,13,chat,aiproxy;APIPark;awaken;axonhub;chats;higress;langchain4j;langchain-swift;llama_index;mastra;one-api;one-hub;opencode;OpenHands;plano;portkey-gateway;rust-genai;simple-one-api,22,
black_forest_labs,Black Forest Labs,True,model_vendor,L3,unknown,,,,8,image_edit;image_generation,litellm,1,
blueclaw,Blue Claw,False,model_vendor,unknown,unknown,,,https://openai.blueclaw.network/v1,2,chat,mastra;opencode,2,
burncloud,burncloud,False,model_vendor,unknown,unknown,,,,34,audio_speech;chat;image_generation;video_generation,axonhub,1,
bytedance,Bytedance,True,model_vendor,L2,openai,True,,,12,chat;embedding,llmgateway,1,
bytez,Bytez,True,model_vendor,unknown,unknown,,,,0,chat,litellm;portkey-gateway,2,
